down_time,up_time,action_time,word_count,Inpu,Move,Nonp,Past,Remo,Repl
4526,1801969,297243,256,2010,3,120,0,417,7
30623,1788969,275391,323,1938,0,254,1,260,1
4441,1771669,421201,404,3515,0,175,0,439,7
41395,1404469,189596,206,1304,0,99,1,151,1
78470,1662472,313702,252,1942,0,72,0,517,0
42636,1778916,179985,275,1794,0,76,0,338,3
6572,1768197,193652,242,1583,0,34,0,148,0
106549,1799303,213548,308,1975,0,155,0,222,1
5273,1797498,118893,223,1426,0,41,0,118,0
10731,1853697,730504,739,6145,0,228,0,1446,7
820,1749111,430511,574,3946,0,87,0,530,2
53017,1833804,316876,252,1780,0,398,0,237,1
4663,1773964,306724,573,3182,0,477,0,62,0
3101,1585825,301886,244,2029,0,136,2,534,0
83058,1831176,184187,234,1690,0,319,0,108,0
18767,1833868,486158,449,3289,0,90,1,529,10
14321,1754540,305997,421,2848,0,59,0,258,6
28486,1782121,468111,286,2444,0,120,1,878,3
31882,1757984,300153,406,2681,0,80,0,364,1
40996,1661246,189082,299,1758,0,46,0,118,0
1679,1796902,473252,414,3815,0,120,0,1075,6
921,1793209,480192,636,4095,0,1011,0,418,2
69136,1800025,508095,537,3374,0,64,0,312,6
42985,1789390,370964,430,2528,0,155,0,251,0
61889,1336969,36073,229,1520,0,6,0,113,0
9470,1896217,519545,487,3142,0,73,0,358,0
31429,1800790,496441,500,3178,0,1826,0,389,1
5700,1797149,349819,447,3284,0,499,0,659,0
3046,1791758,393736,712,4005,0,195,0,137,1
95780,1775073,113818,205,1607,0,61,0,219,0
91083,1858969,409673,269,2090,0,121,0,414,3
37437,1360489,266457,282,1822,0,43,0,183,2
1004,1770438,391210,284,2427,0,692,1,498,8
1167,1834118,452839,490,3973,0,591,1,869,3
25309,1729226,348823,337,2307,0,94,0,307,5
2229,1799742,361805,562,3478,0,56,0,31,0
9868,1804899,385356,407,2747,0,297,0,285,8
18109,1790148,618442,641,5250,0,812,0,1123,1
