iter	Passed	Remaining
0	2	2534
1	4	2086
2	5	1974
3	7	1799
4	8	1697
5	9	1649
6	11	1587
7	12	1588
8	14	1578
9	15	1555
10	16	1514
11	17	1460
12	18	1414
13	19	1377
14	20	1367
15	21	1350
16	23	1333
17	24	1312
18	25	1295
19	26	1283
20	27	1274
21	28	1269
22	29	1255
23	30	1241
24	31	1227
25	32	1218
26	33	1209
27	34	1200
28	35	1193
29	36	1183
30	37	1173
31	38	1163
32	39	1157
33	40	1151
34	41	1145
35	42	1139
36	43	1134
37	44	1129
38	45	1119
39	46	1111
40	47	1102
41	47	1094
42	48	1086
43	49	1079
44	50	1072
45	51	1065
46	52	1058
47	53	1053
48	54	1048
49	54	1043
50	55	1037
51	56	1031
52	57	1026
53	58	1018
54	58	1011
55	59	1005
56	60	1000
57	61	994
58	62	989
59	62	983
60	63	979
61	64	974
62	65	969
63	65	963
64	66	958
65	67	954
66	68	949
67	68	944
68	69	939
69	70	935
70	71	939
71	72	935
72	73	930
73	74	926
74	74	924
75	75	921
76	76	916
77	77	911
78	78	909
79	78	905
80	79	901
81	80	896
82	80	891
83	81	887
84	82	883
85	82	881
86	83	877
87	84	876
88	85	872
89	85	867
90	86	864
91	87	860
92	88	858
93	88	855
94	89	854
95	90	853
96	91	853
97	92	850
98	93	847
99	94	849
100	95	846
101	95	843
102	96	841
103	97	837
104	97	834
105	98	831
106	99	829
107	100	826
108	100	824
109	101	821
110	102	819
111	103	816
112	103	813
113	104	811
114	105	809
115	105	806
116	106	804
117	107	801
118	107	798
119	108	795
120	109	793
121	109	790
122	110	787
123	111	785
124	111	783
125	112	780
126	113	778
127	113	775
128	114	773
129	115	771
130	116	770
131	116	768
132	117	766
133	118	764
134	118	762
135	119	760
136	120	757
137	121	756
138	122	755
139	122	755
140	123	753
141	124	750
142	124	748
143	125	746
144	126	744
145	127	743
146	127	741
147	128	739
148	129	737
149	129	735
150	130	733
151	131	732
152	131	730
153	132	728
154	133	726
155	133	724
156	134	723
157	135	721
158	136	719
159	136	717
160	137	716
161	138	716
162	139	714
163	139	712
164	140	710
165	141	708
166	141	707
167	142	705
168	143	704
169	143	702
170	144	701
171	145	700
172	146	698
173	146	696
174	147	695
175	148	694
176	148	692
177	149	690
178	150	688
179	150	687
180	151	685
181	152	684
182	152	682
183	153	681
184	154	680
185	155	678
186	155	676
187	156	675
188	157	673
189	157	672
190	158	670
191	158	669
192	159	667
193	160	666
194	161	664
195	161	663
196	162	662
197	163	661
198	163	659
199	164	659
200	165	658
201	166	657
202	167	656
203	167	654
204	168	653
205	169	652
206	169	651
207	170	649
208	171	648
209	172	647
210	172	646
211	173	644
212	174	643
213	174	642
214	175	641
215	176	639
216	176	638
217	177	637
218	178	636
219	179	634
220	179	633
221	180	632
222	181	630
223	181	629
224	182	628
225	183	627
226	184	628
227	185	628
228	186	626
229	186	625
230	187	624
231	188	623
232	188	622
233	189	621
234	190	619
235	191	618
236	191	617
237	192	616
238	193	615
239	193	613
240	194	612
241	195	611
242	195	610
243	196	609
244	197	607
