id,down_time,up_time,action_time,word_count,Inpu,Move,Nonp,Past,Remo,Repl
001519c8,4526,1801969,297243,256,2010,3,120,0,417,7
0022f953,30623,1788969,275391,323,1938,0,254,1,260,1
0042269b,4441,1771669,421201,404,3515,0,175,0,439,7
0059420b,41395,1404469,189596,206,1304,0,99,1,151,1
0075873a,78470,1662472,313702,252,1942,0,72,0,517,0
0081af50,42636,1778916,179985,275,1794,0,76,0,338,3
0093f095,6572,1768197,193652,242,1583,0,34,0,148,0
009e23ab,106549,1799303,213548,308,1975,0,155,0,222,1
00e048f1,5273,1797498,118893,223,1426,0,41,0,118,0
00e1f05a,10731,1853697,730504,739,6145,0,228,0,1446,7
00e713bd,820,1749111,430511,574,3946,0,87,0,530,2
00f0737e,53017,1833804,316876,252,1780,0,398,0,237,1
00f8e84c,4663,1773964,306724,573,3182,0,477,0,62,0
00fc9a6a,3101,1585825,301886,244,2029,0,136,2,534,0
0144e4d5,83058,1831176,184187,234,1690,0,319,0,108,0
014e7ae9,18767,1833868,486158,449,3289,0,90,1,529,10
015aa732,14321,1754540,305997,421,2848,0,59,0,258,6
0178a105,28486,1782121,468111,286,2444,0,120,1,878,3
0182aa1c,31882,1757984,300153,406,2681,0,80,0,364,1
0190ff4c,40996,1661246,189082,299,1758,0,46,0,118,0
01963e20,1679,1796902,473252,414,3815,0,120,0,1075,6
019737b6,921,1793209,480192,636,4095,0,1011,0,418,2
01992d32,69136,1800025,508095,537,3374,0,64,0,312,6
01c359fc,42985,1789390,370964,430,2528,0,155,0,251,0
01d0ba4b,61889,1336969,36073,229,1520,0,6,0,113,0
01d602a7,9470,1896217,519545,487,3142,0,73,0,358,0
0249a095,31429,1800790,496441,500,3178,0,1826,0,389,1
0262bf61,5700,1797149,349819,447,3284,0,499,0,659,0
026be946,3046,1791758,393736,712,4005,0,195,0,137,1
0294b4f5,95780,1775073,113818,205,1607,0,61,0,219,0
02a41d1a,91083,1858969,409673,269,2090,0,121,0,414,3
02cf6a52,37437,1360489,266457,282,1822,0,43,0,183,2
02d3c9fc,1004,1770438,391210,284,2427,0,692,1,498,8
02e86b6a,1167,1834118,452839,490,3973,0,591,1,869,3
031c0c58,25309,1729226,348823,337,2307,0,94,0,307,5
034d61db,2229,1799742,361805,562,3478,0,56,0,31,0
035f09fc,9868,1804899,385356,407,2747,0,297,0,285,8
036cfd42,18109,1790148,618442,641,5250,0,812,0,1123,1
0395b217,34599,1669973,339745,471,3230,0,173,0,511,1
03971ddf,1311,1803555,432711,327,2121,0,3655,1,164,0
040c429b,36912,1751210,584386,530,4334,0,140,0,1289,0
0417d421,46648,730936,259895,271,1905,0,53,0,359,0
0432f117,3871,1784997,360784,396,2773,0,155,1,290,3
0445b534,77920,1963166,105600,214,1421,0,214,0,61,1
044b274d,484,1718155,462577,531,4653,0,248,1,1057,15
044c5c54,2376,1091145,85232,213,1222,0,13,0,75,0
048fd254,51604,1774918,191029,296,1844,0,236,0,149,0
04b88b3e,14647,1798252,393954,514,3203,0,118,0,292,3
04c5f885,4696,1760335,187967,205,1357,0,21,0,86,0
04e37b6b,13756,1782525,218141,282,1890,0,67,0,110,0
04e63aec,1455,1812336,676552,426,3783,0,777,0,1344,2
04f83ccb,42690,1853454,393391,670,4313,0,713,0,781,0
052a7811,15047,1793742,226819,303,2058,0,299,0,224,6
052b25e1,17337,1831669,302985,741,4847,0,87,1,346,9
052cf3a6,6535,1779002,162480,212,1369,0,159,0,82,0
053be4e5,16459,2122899,464202,422,3621,0,80,0,1076,0
05624ab0,2354,1781946,217513,234,1487,0,27,0,224,0
056c41fc,1705,1789335,201312,207,1422,0,89,0,229,0
05b35fa0,76050,1786628,225588,222,1758,0,100,0,382,0
05f425a4,19758,1833776,160927,400,2505,0,124,0,198,1
05f8ca37,41309,1843303,348678,285,2259,0,56,0,644,1
06336d82,1864,1749122,460878,849,5050,0,710,0,286,0
064a82e9,21564,1784124,317033,495,3236,0,98,1,474,0
0657fcde,57042,1757751,344751,491,3021,0,99,0,222,2
0666fb4e,33782,1808093,437190,670,4202,0,96,0,227,1
069d668b,22651,1720082,450945,453,3421,0,311,0,727,4
06cba5d7,29639,1830922,274246,397,2427,0,198,0,266,0
06e59db8,34594,1807347,660335,1037,5723,0,114,0,325,0
06f33221,3280,1892001,439642,336,2787,0,1374,0,511,3
073b3535,21511,1798986,481526,673,3776,0,232,0,219,0
075f92a5,11916,1831953,323940,659,4198,0,137,0,587,1
077ee03e,168863,1739391,478946,546,4301,0,59,0,900,3
078a6196,92593,3804464,621465,551,3871,0,298,1,528,22
07bb2245,8474,1798960,291567,275,1924,3,188,0,298,0
07bb7765,2063,1817338,367558,277,2973,0,550,0,999,3
07c36ae1,57539,1751972,435230,259,2764,0,280,0,1257,0
07e41499,38837,1768897,425206,341,2150,0,117,0,285,0
07f3409c,968,1791262,388258,554,3675,0,277,0,428,2
081d84f4,277052,1795209,327203,365,2504,0,74,0,201,4
08276ea7,809556,2307949,199831,275,1606,0,136,0,59,1
08288a1f,73537,1810097,255150,442,2667,0,90,1,242,0
08390d49,731,1752860,275392,245,1800,0,300,0,248,1
088efb89,65679,1800042,372720,413,2553,0,56,0,376,0
08dbdc95,30620,1822128,753978,692,5484,0,199,0,808,3
08e3c7ae,3309,229548,43885,72,428,0,46,0,32,1
08e82426,47276,1749992,365114,479,2974,0,64,0,139,0
08eb331a,1822,1769662,235100,224,1457,0,62,0,133,0
08ed1a7f,881,1859268,273099,341,2434,0,248,1,171,15
08f461ac,17430,1873984,789121,480,4005,0,5582,1,765,17
08f9b53a,12558,1801629,442609,561,4118,0,1098,0,626,15
0916cdad,2119,1806831,316999,312,2322,0,485,1,555,5
09429577,39100,1752836,441443,404,2897,0,100,0,471,9
0949205b,1259,1765750,378681,243,1841,0,54,0,423,0
098c4b58,43000,1802209,251613,378,3054,0,331,0,392,3
098f7878,168539,1883353,587207,541,3991,0,318,0,637,8
09a67581,43384,1872650,579877,974,5844,0,94,0,468,0
09bf7971,29242,1794771,363234,634,3668,0,240,0,331,0
09ea6d33,2616,2652454,152997,205,1537,0,84,0,184,0
09eb3ce5,6597,1845555,141825,204,1374,0,115,0,233,0
0a1be27b,1643,1830701,269532,245,1676,0,192,0,425,0
0a21bbd6,23773,1749227,354685,420,3034,0,999,0,461,1
0a248634,43746,1803405,523191,627,4134,0,290,0,692,0
0a31d60e,54604,1902016,365287,308,2433,0,175,0,728,8
0a4e3aec,28535,1796797,236409,279,1723,0,82,1,146,1
0a4eae7a,95364,2058719,245999,238,1585,0,262,0,132,1
0a59a757,234396,1601131,413931,397,2912,0,572,2,571,4
0a98043e,20344,1789185,249529,305,2356,0,479,0,552,0
0ad15907,44912,1776981,159742,306,1791,0,60,0,108,0
0ad30c56,3507,1765284,505046,554,4300,0,108,0,1214,0
0b7d9563,49546,1784538,173308,239,1375,0,32,0,17,0
0bcf7a38,42061,1590352,177832,366,2119,0,190,1,176,0
0bdda3d0,2878,1866819,306119,382,2678,0,42,0,293,3
0be614b2,1543,1803240,365948,519,3391,0,166,0,243,6
0c0f5e03,1295,1737679,351072,311,2675,0,97,0,807,0
0c13191d,329823,1908183,361781,257,2606,0,197,0,938,4
0c3c0e97,54747,2254474,295531,266,1891,0,136,0,184,1
0c63312a,953,1751684,209695,397,2365,0,33,0,151,0
0c683abf,74860,1887895,467630,420,2804,0,38,0,386,0
0c6ae36d,1585,2185959,144056,228,1326,0,27,0,73,0
0c6dc776,747,1709925,462145,503,3336,0,55,0,393,0
0c81d872,10878,1806380,158530,257,1832,0,76,0,202,0
0c97760e,90996,1973319,226443,449,2877,1,172,0,263,2
0ca05fe3,4909,1806699,471257,254,2858,0,293,0,1101,0
0cb03a4b,718,1809065,429043,445,3182,0,171,0,734,0
0cbb4d8a,31273,1699707,389928,414,3082,0,325,0,573,11
0cdbef4c,62791,1763090,231830,377,2513,0,185,0,383,0
0cdd67f7,209352,1746102,437073,508,3228,0,148,0,240,0
0cf8f260,4510,1760206,447689,231,2058,0,123,4,469,4
0d0f5c6a,63397,1853248,208314,594,3379,0,258,0,137,0
0d341ad9,87667,1776522,161910,205,1380,0,230,0,125,0
0d71be2a,657,1181492,542761,408,3832,0,322,0,1355,2
0d9a48c8,1354,1866366,439049,783,5050,0,111,0,467,0
0d9d8d5c,2356,1833847,198073,221,1332,0,76,0,119,0
0e1ed32d,2400,1927468,418729,335,2262,0,52,0,124,0
0e45ff80,23634,1775714,278263,321,2191,0,81,0,471,0
0e47a081,768,1819762,534456,555,4290,0,614,0,860,4
0e6b2690,30343,1803570,287860,378,2174,0,82,0,88,0
0e7d541e,1423,1835059,554347,710,4390,0,281,0,329,0
0e8c5c2d,16248,1782231,359620,542,3536,0,197,0,423,4
0e8ff5f0,14210,1716888,424749,428,3619,0,495,0,609,13
0e92a174,77777,1820710,306040,355,3272,0,153,1,954,12
0e92f6e6,27938,1621307,439039,508,3314,0,107,0,327,2
0e94f89a,56079,1771508,332752,319,2907,0,753,0,829,0
0eb6deb6,1849,1810404,175753,255,1499,0,102,0,129,0
0ef51d77,1202,1796939,445201,439,3096,0,457,2,324,9
0efdfcb9,43481,1760945,214818,467,3152,0,79,0,440,0
0f2b0127,10187,1728003,235154,227,1648,0,284,0,166,0
0f2d2bc2,28530,1801597,283556,281,2371,0,231,0,316,8
0f53e40a,42356,1727870,586470,494,4163,0,111,0,963,0
0f825609,3852,1259084,174712,246,1570,0,38,0,102,1
0f99d42f,116896,1840814,347253,624,3744,0,469,0,121,0
0fa3f386,102884,1806029,206878,235,1630,0,94,0,116,0
10001c3f,912,1776967,527090,741,5050,0,245,0,631,0
1031137e,3085,1784268,531383,596,3930,0,95,0,599,0
104e2177,26663,1711428,257679,355,2820,0,273,1,657,0
10894203,87841,1824448,303862,469,3133,0,175,1,354,0
10967045,1525,1798678,301843,438,2920,0,94,0,408,0
10986aaa,3974,1805722,428715,509,3533,0,578,0,540,6
10989e65,50243,1752524,419882,389,2463,0,345,0,399,0
10a8ffbc,18148,1802384,369783,393,2552,0,20,0,400,0
10d00394,876,1775661,371131,431,3578,0,153,0,783,0
10eafbce,1728,1774093,314310,262,2134,0,369,0,511,0
1102ab6c,12308,1345945,403313,395,3151,0,50,0,431,1
110982e4,779,1733258,319011,325,2053,0,65,0,248,0
11612565,2239,2956025,137068,210,1245,0,37,0,49,0
1165aac7,2796,1855454,455807,433,3054,0,89,0,114,0
118107cc,237579,1928107,196945,140,1504,0,70,0,273,0
1183579c,46158,1648983,216181,217,1614,0,57,0,163,1
11938f53,3047,1865397,181311,323,2063,0,468,0,249,0
11c44718,1624,1814615,386767,251,2547,0,1200,7,146,13
1201aaf5,53688,1773526,370495,351,2258,0,833,0,197,1
121b7be1,2278,1114571,261178,267,2210,0,92,0,485,3
12251b80,64710,1825172,210156,335,2347,0,49,0,296,7
12552ba4,33238,1778108,157428,283,1758,0,252,0,49,5
1255ca43,53418,1781313,451023,331,2778,0,1721,0,856,0
128d8837,5016,1797200,346936,345,3008,0,133,0,924,1
12a1c58e,148372,1786487,201654,303,1833,0,187,0,42,5
12a29027,35980,1732509,507165,593,4178,0,801,0,395,2
12b11af1,142675,1815977,543942,308,3348,0,204,1,1469,1
12c0c19b,112357,1796944,434941,281,2204,0,1271,0,394,0
12d2369f,24407,1819805,334795,535,3734,0,205,0,518,3
12e6279b,25796,1778318,212773,322,2164,0,114,0,349,1
12ed90ad,46418,1752614,214037,259,1771,0,134,0,253,4
12f19edb,977,1792526,349835,318,2930,0,217,4,503,11
12f9bae8,786,1714383,710205,697,4573,0,195,1,610,2
131a4f5b,1612,1491284,162942,205,1425,0,34,1,355,0
1343a4d2,23091,1796270,787141,698,4547,0,415,0,758,0
1352b297,26203,1913242,177907,215,1675,0,78,0,269,0
1372a95e,19051,1859608,828702,599,5189,0,605,1,1320,4
13959265,30670,1700442,139355,210,1163,0,152,0,24,0
139b1633,2140,1676283,360403,266,1951,0,111,0,363,0
13b35572,398970,1808553,78922,208,1347,0,73,0,206,0
13b958a3,30054,1816287,555185,475,3127,0,152,0,302,3
13c12172,1130,1799633,197709,243,1651,0,281,0,188,0
13c8090f,1778,1397619,131712,221,1473,0,43,0,140,2
13e5d669,1974,1798549,940491,782,5371,0,186,0,593,0
13e5fbb5,37123,1055599,235060,304,1926,0,81,1,178,0
14198179,103364,1794853,194815,256,1662,0,52,0,112,1
142ae1e2,7378,1674550,285952,279,2273,0,396,0,360,0
142d6035,22308,1803241,514034,542,3731,0,102,0,666,3
143c8cd1,2310,1685405,295739,483,3013,0,118,0,474,0
143daf03,28026,1763619,185441,228,1648,0,36,0,378,0
14416b1b,1528,1830533,177133,231,1149,0,377,2,132,0
1454c1e7,968,1681137,450535,452,3480,0,511,0,789,17
14623dee,1402,1788577,453407,356,2922,0,1199,0,411,11
1465ed8a,3178,1799645,232031,310,1830,0,97,0,51,2
147f29a6,21999,1780755,141317,228,1393,0,48,0,147,0
148d6ad2,129758,1808995,253164,271,1783,0,92,0,83,9
14a7ef5a,64318,1772872,178080,259,1766,0,31,0,326,0
14ab2307,73049,1862749,411381,233,2955,0,145,1,800,14
14c585a2,27664,1793034,561227,537,4345,0,180,0,1058,0
14dcd6c9,21303,1754892,211331,213,1477,0,337,1,179,0
14f96944,74525,1773936,357237,288,2387,0,67,0,642,0
14fee75a,123171,1783040,223292,286,1756,0,38,0,193,1
153aafba,1061,1799740,241178,254,2193,0,258,2,402,0
156afd16,1376,1804132,503295,855,4588,0,55,0,143,2
157ebf8a,49761,1894665,227561,286,1907,0,193,0,258,0
159f332d,23506,1795258,436410,435,2672,0,3425,0,171,5
159f6c4b,2121,1615579,294641,336,2319,0,429,0,300,2
15d93e45,8739,1836967,252443,224,2059,0,124,0,559,0
15dde81f,23065,1228096,150344,272,1708,0,46,0,201,0
165315ef,30604,1540582,239798,384,2677,0,67,0,344,1
